drug_id	drug_name	restrictions	drug_description	pathways	general_references
DB11191	Cobamamide	approved	Cobamamide is one of the active forms of vitamin B12 that is also known as _adenosylcobalamin_ or _dibencozide_. This drug is available as a nutritional supplement to prevent vitamin B12 deficiency.Vitamin B12 is a collective term for these variously substituted corrinoids. The principal biochemical participants are two coenzyme forms of Vitamin B12 that are produced and activated in two separate cellular compartments: methylcobalamin in the cytosol and adenosylcobalamin in the mitochondria [L2053].Vitamin B12 (cyancobalamin, Cbl) has two active co-enzyme forms, _methylcobalamin (MeCbl)_ and _adenosylcobalamin (AdCbl)_. There has been a shift in the treatment of vitamin B12 deficiency such that MeCbl is being extensively used and promoted. This exists despite the fact that both MeCbl and AdCbl are necessary for life and have vastly different metabolic fates and functions. MeCbl is mainly involved along with folate in hematopoiesis and the growth of the brain during childhood. Deficiency of AdCbl disturbs the carbohydrate, fat and amino-acid metabolism, and therefore interferes with the formation of myelin. It is therefore important to treat vitamin B12 deficiency with a combination of MeCbl and AdCbl or hydroxocobalamin or cobalamin [L2054]. Vitamin B12 has important physiological roles including DNA synthesis, myelin formation in the nervous system, red blood cell formation, as well as fatty acid and amino acid metabolism [L2047]. Please refer to the entry [DB00115] for more information on this entry.		
DB11192	L-threonic acid	experimental			
DB11193	Papain	approved	Papain, also known as papaya proteinase I, is a cysteine protease (EC 3.4.22.2) enzyme that is found in species of papaya, _Carica papaya_ and _Vasconcellea cundinamarcensis_. The enzyme is found to be localized in the skin of papaya, and is collected from slashed unripe papayas as a crude latex. Papain is used in food, pharmaceutical, textile, and cosmetic industries. While it has been used for the treatment of inflammation and pain via topical administration, papain has also shown to have anthelmintic and tooth-whitening properties. Present in over-the-counter mixture products consisting of different digestive enzymes, its active site contains a catalytic diad that plays a role in breaking peptide bonds. Papain is also used as an ingredient in various enzymatic debriding preparations.		
DB11195	Xylitol	experimental,investigational	Xylitol is a naturally occurring five-carbon sugar alcohol found in most plant material, including many fruits and vegetables. Xylitol-rich plant materials include birch and beechwood [A22081]. It is widely used as a sugar substitute and in "sugar-free" food products. The effects of xylitol on dental caries have been widely studied, and xylitol is added to some chewing gums and other oral care products to prevent tooth decay and dry mouth. Xylitol is a non-fermentable sugar alcohol by most plaque bacteria, indicating that it cannot be fermented into cariogenic acid end-products [A32423]. It works by inhibiting the growth of the microorganisms present in plaque and saliva after it accummulates intracellularly into the microorganism [A32423]. The recommended dose of xylitol for dental caries prevention is 6–10 g/day, and most adults can tolerate 40 g/day without adverse events [A22081].		
DB11197	Ferrous cysteine glycinate	approved			
DB11198	Peppermint oil	approved,investigational	Extracted from the stem, leaves, and flowers of _Mentha piperita_ L. plant, peppermint oil (Mentha piperita) is a popular essential oil used in aromatherapy for both external and internal use. Mentha piperita is a hybrid of spearmint (Mentha spicata) and water mint (Mentha aquatica) [A33065]. Medicinal use of herbal ingredients such as peppermint oil has a long history of treating digestive disorders and upper respiratory symptoms and cough [A33055]. There are various over-the-counter and commercial uses of peppermint oil due to its carminative, cholagogue, antibacterial, secretolytic, and choleretic actions [A33056]. Peppermint oil contains pulegone, which is a naturally-occurring pesticide [F77]. Other active constituents of peppermint oil include [DB00825], menthone, cineol, and several other volatile oils [A33055, A33056]. Peppermint oil is used as a flavouring agent in foods and fragrance in hygienic or cosmetic products, and as an anti-itch and cooling agent in topical pharmaceutical products. It is also an active ingredient in topical analgesics for the relief of joint and muscle pain. Peppermint oil can be applied topically to temporarily relieve tension-type headache. The use of peppermint oil in the management of irritable bowel syndrome (IBS) has been investigated in many clinical studies due to its relaxing effects on smooth muscle; however the evidence supporting this use is unclear. Due to its effectiveness in relaxing GI smooth muscle but ability to induce gastroesophageal reflux, enteric-coated formulations of peppermint oil has been established which bypass the upper GI tract unmetabolized, thereby facilitating its effect in the lower GI tract without effects in the upper tract [A33055]. Peppermint oil is safe and well-tolerated at commonly recommended dosage [A33055].		
DB11199	Sage oil	nutraceutical	Sage oil is extracted from sage or *Salvia officinalis*, the herb commonly used for culinary purposes. *Salvia officinalis* is a common sage and a member of the genus *Salvia*, that includes aromatic and perennial plants with flowers. Essential oil has been traditionally used in medicine for the relief of pain and the treatment of inflammation and infections, as it is reported to exhibit carminative, antispasmodic, antiseptic, and astringent properties [A27252]. The main constituents of sage oil include camphor, 1,8-cineole, α-thujone, β-thujone, borneol, and viridiflorol, which are thought to mainly produce the biological effects of sage oil. Sage oil also contains flavonoids and polyphenolic compounds that mediate strong antioxidant, radical-scavenging, and antibacterial activities [A27252]. It is found in cosmetics, personal care products and dietary supplements.		
DB11200	Aluminum zirconium octachlorohydrex gly	approved	Aluminum zirconium octachlorohydrex gly is complex that consists of aluminum zirconium octachlorohydrate and glycine. It is an active antiperspirant agent [L2705], [L2706]. It diffuses into the sweat pores and prevents perspiration (sweat) from leaving the pores. The anhydrous form of the compound also has water-absorbing properties. Currently, the FDA allows the inclusion of this substance in concentrations of up to 20% in antiperspirants [L2012].Interestingly, this chemical has been studied in relation to its possible impact on the microbiome of the human underarms [A32967].		
DB11201	Menthyl salicylate	approved	Menthyl salicylate is an ester of menthol and salicylic acid [L2808].This product is used to treat minor aches and pains of the muscles/joints (e.g., arthritis, backache, sprains) [L2810].		
DB11202	N-alkyl ethylbenzyl dimethyl ammonium (C12-C14)	approved	N-alkyl ethylbenzyl dimethyl ammonium (c12-c14) is a quaternary ammonium compound with surfactant properties. It is found in sanitizing solutions or soaps as an active ingredient due to its antimicrobial properties.Employed in a great variety of cleaning agents and sanitizing agents, it possesses relatively broad gram-positive and gram-negative antibacterial activities and relatively little chance for systemic absorption and exposure, although the formal mechanism of action of quaternary ammonium compounds like n-alkyl C12-C14 dimethyl ethylbenzyl ammonium chloride is difficult to elucidate.		
DB11203	Boron	experimental	Boron (B) is a chemical element with an atomic number 5 that belongs in the Period 2 and Group 13 in the periodic table. It is a low-abundant metalloid that is a poor electrical conductor at room temperature. Natural boron exists in 2 stable isotopes however pure boron is hard to prepare due to contamination by different elements. It is also found for applications including ceramics, high-hardness or abrasive compounds, metal coatings, detergents, bleaching agents, insecticides, semiconductors, magnets, wood preservatives, and an additive in glass fibers of boron-containing fiberglass for insulation and structural materials. Boric acid contains antiseptic, antifungal, and antiviral properties thus it is used as a water clarifier in swimming pool water treatment. There are few pharmaceutical agents that contain a boron molecule in their structures, such as [DB09041] and [DB00188].		
DB11204	Panthenol	approved	Panthenol is an alcohol derivative of pantothenic acid, a component of the B complex vitamins and an essential component of a normally functioning epithelium. Panthenol exists as a racemic mixture containing both the dextrorotatory form (dexpanthenol) and the levorotatory form (levopanthenol). While pantothenic acid is optically active, only the dextrorotatory form ([DB09357]) is biologically active.Dexpanthenol, the active form of panthenol, is enzymatically cleaved to form pantothenic acid (Vitamin B5), which is an essential component of Coenzyme A that acts as a cofactor in many enzymatic reactions that are important for protein metabolism in the epithelium [A32373].Due to its good penetration and high local concentrations, dexpanthanol is used in many topical products, such as ointments and lotions for treatment of dermatological conditions to relieve itching or promote healing. Dermatological effects of the topical use of dexpanthenol include increased fibroblast proliferation and accelerated re-epithelialization in wound healing. Furthermore, it acts as a topical protectant, moisturizer, and has demonstrated anti-inflammatory properties [A32377].		
DB11205	Alcloxa	approved			
DB11206	Bemotrizinol	approved	Bemotrizinol, or bis-ethylhexyloxyphenol methoxyphenyl triazine, is an organic UV filter found in over-the-counter sunscreen products. It primarily absorbs UV-A rays. Compared to older broad-spectrum chemical agents, bemotrizinol is more more fat soluble (oil soluble in cosmetic oils) to aid in efficacy and broad-spectrum activity [A19212]. It is claimed to be photostable, which increases its onset of action and its efficiency in providing protection against UV-rays upon topical application [A19212, A32909]. Bemotrizinol is commonly marketed as Tinosorb S and Escalol S.		
DB11207	Amiloxate	approved	Amiloxate is an EMA-approved chemical UV-filter found in over-the-counter sunscreen products at concentrations up to 10%m [F35]. It is often referred to as isoamyl 4-methoxycinnamate or isoamyl p-methoxycinnamate. Amiloxate is a cinnamic acid derivative with an anti-inflammatory activity [A32916].		
DB11208	Aluminum chlorohydrex propylene glycol	approved	Aluminum chlorohydrex propylene glycol is a complex consisting of Aluminum Chorohydrate and propylene glycol (PG). It is an antiperspirant active ingredient found in antiperspirant drug products for over-the-counter human use.		
DB11209	Iron protein succinylate	approved,investigational			
DB11210	Ferrous bisglycinate	approved	Ferrous bisglycinate is a chelate that is used as a source of dietary iron. Forming a ring structure when reacting with glycine, ferrous bisglycinate acts as both a chelate and a nutritionally functional [A27250]. It is found in foods for food enrichment or in supplements for the treatment of iron deficiency or iron deficiency anemia.		
DB11211	Calcium sulfide	experimental			
DB11217	Arbutin	approved	Extracted from the dried leaves of bearberry plant in the genus _Arctostaphylos_ and other plants commonly in the _Ericaceae_ family, arbutin is a beta-D-glucopyranoside of [DB09526]. It is found in foods, over-the-counter drugs, and herbal dietary supplements [F43]. Most commonly, it is an active ingredient in skincare and cosmetic products as a skin-lightening agent for the prevention of melanin formation in various skin conditions that involve cutaneous hyperpigmentation or hyperactive melanocyte function [A27248]. It has also been used as an anti-infective for the urinary system as well as a diuretic [F43]. Arbutin is available in both natural and synthetic forms; it can be synthesized from acetobromglucose and [DB09526] [F43]. Arbutin is a competitive inhibitor of tyrosinase (E.C.1.14.18.1) in melanocytes [A27248], and the inhibition of melanin synthesis at non-toxic concentrations was observed _in vitro_. Arbutin was shown to be less cytotoxic to melanocytes in culture compared to [DB09526] [A32942].		
DB11218	Tea tree oil	experimental,nutraceutical	Tea tree oil is an essential oil derived mainly from the Australian native plant _Melaleuca alternifolia_ via steam distillation of the of the leaves and terminal branches [A32439]. It may be referred to as _Melaleuca alternifolia_ oil. It has been a popular ingredient in a variety of household and cosmetic products due to its antiseptic, anti-inflammatory, broad-spectrum antimicrobial and antioxidant properties [A32438]. The dermatological use of tea tree oil has been investigated by various studies, where several studies have suggested the uses of this oil for the treatment of acne vulgaris, seborrheic dermatitis, and chronic gingivitis [A32438]. Terpene hydrocarbons and related alcohols constitute tea tree oil, with [DB12816] being the major antimicrobial component [A32439].		
DB11219	Enzacamene	approved	Commonly known as 4-methylbenzylidene-camphor (4-MBC), enzacamene is a camphor derivative and an organic chemical UV-B filter. It is used in cosmetic products such as sunscreen to provide skin protection against UV rays. While its effects on the human reproductive system as an endocrine disruptor are being investigated, its use in over-the-counter and cosmetic products is approved by Health Canada. Its tradenames include Eusolex 6300 (Merck) and Parsol 5000 (DSM).		
DB11220	Octacosanol	nutraceutical	1-octacosanol is a straight-chain aliphatic 28-carbon primary fatty alcohol that is used as a nutritional supplement. This high–molecular-weight organic compound is the main component of a natural product wax extracted from plants [A27245]. 1-octacosanol is reported to possess cholesterol-lowering effects, antiaggregatory properties, cytoprotective use, and ergogenic properties [A27245]. It has been studied as a potential therapeutic agent for the treatment of Parkinson's disease.		
DB11221	Dioxybenzone	approved	Dioxybenzone, or benzophenone-8, is an organic compound derived from [DB01878] that is used as a sunscreen agent. It absorbed UV-B and UV-AII rays. Dioxybenzone is an approved sunscreen ingredient in concentrations up to 3% [L2525].		
DB11222	Benzoin resin	approved	Benzoin resin is a balsamic resin obtained from the bark of several species of trees in the genus _Styrax_. There are two common kinds of benzoin, benzoin Siam and benzoin Sumatra, that are obtained from different species of the _Styrax_ tree. Benzoin resin differs from the chemical compound benzoin, which is derived from benzoin resin; however, the resin does not contain this compound (see [DB14020]). While benzoin resin is used as a common ingredient in incense-making and perfumery, it is also used clinically as a mild antiseptic agent in over-the-counter products to clean sores, cuts, wounds, and skin abrasions as tincture of benzoin, or benzoin in a solution of alcohol. Tincture of benzoin solution is a topical adhesive agent used to provide tackiness and enhance the adhesive property of tape.		
DB11223	Tolu balsam	experimental			
DB11224	Liquidambar styraciflua resin	experimental			
DB11225	Peg-100 stearate	approved			
DB11226	Ethylhexyl methoxycrylene	approved,experimental	Ethylhexyl methoxycrylene is a photostabilizer that preserves the effectiveness of UV filters by interacting with both the singlet and triplet states [F104]. It returns UV filters to their ground states without absorbing sunlight [F104]. It is used as a solvent for crystalline UV filters and is easily emulsified and suitable for use in various lotions, creams, sprays, sticks, and gel formulations [F104]. It currently enjoys regional approvals in Canada, the EU, and the US [L2847].		
DB11227	Thermus thermophilus lysate	experimental			
DB11228	Methylcellulose	approved	Methyl cellulose polymer consisting of numerous linked glucose molecules used as a stabiliser, thickener and emulsifier for foodstuffs and cosmetics. The Degree of Substitution (DS) of a given form of methyl cellulose is defined as the average number of substituted hydroxyl groups per glucose with a theoretical maximum of 3, however more typical values are 1.3 2.6. Methyl cellulose is a hydrophilic white powder in pure form and dissolves in cold (but not in hot) water, forming a clear viscous solution or gel. It is available under a variety of trade names as a treatment for constipation. Like cellulose, it is not digestible, not toxic, and not allergenic		
DB11229	Padimate A	experimental,withdrawn	Padimate A is an ester derivative of PABA and an ingredient in some sunscreens. It absorbs ultraviolet rays thereby preventing sunburn, however, its chemical structure and behaviour is similar to an industrial free radical generator. In Europe this chemical was withdrawn in 1989 for unstated reasons and in the US it was never approved for use in sunscreens.		
DB11230	Magnesium Aluminum Silicate	approved	Magnesium aluminum silicate is a naturally occurring mineral obtained from silicate ores of the montmorillonite group [A32782]. It is refined to a powder for use in cosmetic and pharmaceutical applications as an absorbent, anticaking agent, opacifying agent, viscosity-increasing agent, suspending agent, tablet and capsule disintegrant, andtablet binder. It also has antacid properties and is used as a component of some over the counter antacid medications.		
DB11231	Lycopene	approved,investigational	Lycopene is a naturally occuring red carotenoid pigment that is responsible in red to pink colors seen in tomatoes, pink grapefruit, and other foods [A27242]. Having a chemical formula of C40H56, lycopene is a tetraterpene assembled from eight isoprene units that are solely composed of carbon and hydrogen. Lycophene may undergo extensive isomerization that allows 1056 theoretical cis-trans configurations; however the all-trans configuration of lycopene is the most predominant isomer found in foods [A27242, A27243] that gives the red hue. Lycopene is a non-essential human nutrient that is classified as a non-provitamin A carotenoid pigment since it lacks a terminal beta ionone ring [A27242] and does not mediate vitamin A activity. However lycophene is a potent antioxidant molecule that scavenges reactive oxygen species (ROS) singlet oxygen. Tomato lycopene extract is used as a color additive in food products.		
DB11232	Saccharide isomerate	approved			
DB11233	Silver citrate	experimental			
DB11234	Poliglusam	experimental	Poliglusam, or chitosan, is a linear polysaccharide consisting of D-glucosamine and N-acetyl-D-glucosamine. Naturally-occuring poliglusam is found in the cell walls of fungi, soil and sediments where it is produced from degradation of chitin induced by certain groups of bacteria that produce the enzymes deacetylase or chitosanase enzymes [L999]. In comparison, commercial poliglusam is derived from deacetylation of chitin contained in the shells of various sea crustaceans such as shrimps [L999]. As a rich source of dietary fiber, chitosan is used as a food ingredient or additive. It is also reported to have an effect on protein aggregation, emulsification capacity, film-forming ability, clarifying ability, and fatty acid absorption capability [L999]. In addition, chitosan also exhibits antimicrobial and antioxidant activities.		
DB11235	Thonzylamine	approved	Thonzylamine is an antihistamine and anticholinergic drug. It is available as combination products with [DB04837] or [DB00388] for temporary relief of symptoms of common cold, hay fever (allergic rhinitis) or other upper respiratory allergies.	Thonzylamine H1-Antihistamine Action	
DB11236	Polyethylene glycol 3500	experimental			
DB11237	Trypsin	approved,vet_approved	Trypsin is a serine protease that plays an essential role in protein hydrolysis and absorption in mammals. When converted from its zymogen trypsinogen, trypsin is available as an active peptide hydrolase (EC 3.4.21.4) form to cleave peptide chains, mainly at the carboxyl side of the amino acids lysine or arginine. Trypsin contains a nucleophilic residue Ser in the enzyme active site which attacks the carbonyl moiety of the substrate peptide bond to form an acyl-enzyme intermediate [A27241]. This nucleophilic attack is facilitated by the catalytic triad consisting of histidine-57, aspartate-102, and serine-195. Trypsin also contains an oxyanion hole that stabilizes the charge negative charge on the carbonyl oxygen atom formed from the cleavage of peptide bonds. Therapeutic forms of trypsin is obtained from purified extracts of porcine or bovine pancreas and is intended to aid in digestion when administered orally.		
DB11238	Borage oil	approved,investigational	Borage oil, or borage seed oil, is a rich source of gamma-linolenic acid (GLA) that is obtained from the seeds of the Borago officinalis (borage). Borage oil is used as an herbal treatment of skin disorders including eczema, seborrheic dermatitis, and neurodermatitis as well as other inflammatory, cardiovascular and endocrine disorders, although its clinical efficacy and long-term effects are not fully elucidated yet. GLA, which accounts for approximately 24% of the oil, is converted to dihomo-γ-linolenic acid (DGLA) which acts as a precursor to anti-inflammatory mediators such as 1-series prostaglandins and the 3-series leukotrienes. Borage oil may be found in foods or in skin care products.		
DB11239	Aluminum sulfate	approved	Aluminum (Al), also spelled aluminum, chemical element, a lightweight, silvery-white metal of main Group 13 (IIIa, or boron group) of the periodic table [L2148].It is a chemical agent used in water purification, the pH regulation of garden soil, and other commercial or industrial applications. Medically, it is primarily used as a coagulating agent in minor cuts and abrasions as well as deodorant [L2144].Aluminum (Al) is ubiquitous and represents the third most common element in the Earth’s crust. It most commonly exists in a combined state with various other elements. Al is found in materials used in the pharmaceutical industry, and in manufactured foodstuffs, cosmetics, and tap water. By overcoming the body barriers, Al may infiltrate into the blood and lead to toxic effects in liver, bone and the central nervous system [L2145].		
DB11242	Gelatin	approved,vet_approved	Gelatin is a multifunctional ingredient that is used in foods, pharmaceuticals, cosmetics, and photographic films as a gelling agent, stabilizer, thickener, emulsifier, as well as film former [A32432]. As a thermoreversible hydrocolloid with a small gap between its melting and gelling temperatures, gelatin provides unique advantages over carbohydrate-based gelling agents. Gelatin is mainly produced from porcine skin, and cattle hides and bones [A32432].Some alternative raw substances have recently garnered attention from both researchers and the industry not only because they overcome religious concerns shared by both Jews and Muslims but also because they may provide scientific advantages over gelatins from mammal origins [L2121].Fish skins from a number of fish species a type of substance that has been comprehensively studied as a source for gelatin production. Fish skins have a significant potential for the production of high-quality gelatin with different melting and gelling temperatures over a much larger range than mammalian gelatins but have a sufficiently high level of gel strength and viscosity [A32432].Gelatin is generally recognized as safe (GRAS) by the FDA to be a non-hazardous food or food ingredient [L2110].Interestingly, horse gelatin has been studied and it was found that in the horse, gelatin influences the homeostasis of the amino acids required for cartilage synthesis [A32434]. An increasing number of novel applications have been found for collagen and gelatin [A32426].		
DB11243	Ethyl macadamiate	approved	Ethyl macadamiate is derived from Macadamia terifolia seed oil. It is a non-volatile ester of ethyl alcohol and the fatty acids. Ethyl macadamiate is used in cosmetics and personal care products such as sunscreen, hair care products and skin care products as an emollient and skin conditioning agent.		
DB11244	Cyclomethicone 5	experimental	Cyclomethicone 5 is member of cyclomethicone, which are a group of liquid methyl siloxanes that have low viscosity and high volatility. Cyclomethicones are cyclic in structure with a monomer backbone of one silicon and two oxygen atoms bonded together. Cyclomethicone 5 is used in cosmetic and personal products as a skin emollient.		
DB11246	Copper gluconate	approved,investigational	Copper gluconate is a copper salt of D-gluconic acid that displays a light blue to bluish-green color. It is prepared by the reaction of gluconic acid solutions with cupric oxide or basic cupric carbonate. According to the good manufacturing or feeding practice by the FDA, copper gluconate is used as a nutrient or dietary supplement and is generally recognized as safe for use at a level not exceeding 0.005 percent.		
DB11247	Sambucus nigra flowering top	experimental			
DB11248	Zinc gluconate	approved,vet_approved	Zinc gluconate is a zinc salt of gluconic acid comprised of two gluconic acid molecules for each zinc cation (2+). Zinc gluconate is a generally recognized as safe (GRAS) substance by FDA [L2081]. It is available as a trace mineral supplement and over the counter as a lozenge form for a reduced duration of common colds and with decreased symptom severity.Although it has been nasally administered for treating the common cold, this route of administration has been associated with some cases of anosmia [A32414], [A32409], [A32410], [L2080].Studies show that zinc may be better absorbed in humans in the gluconate form [A32412], [L2105], however, results from other studies may vary [L2082], [L27280].Interestingly, zinc supplementation has become a critical intervention for treating diarrheal episodes in children. Studies suggest that administration of zinc along with new low osmolarity oral rehydration solutions/salts (oral rehydration solution), may reduce both the duration and severity of diarrheal episodes for up to 12 weeks [L422].More information about Zinc (in its natural form) is available at [DB01593].		
DB11250	Glyceryl monostearate	experimental	Glycerol monostearate, commonly known as GMS, is the glycerol ester of stearic acid . It is commonly used as an emulsifier in foods.		
DB11251	Tocopherol	approved,investigational	Tocopherol exists in four different forms designated as α, β, δ, and γ. They present strong antioxidant activities, and it is determined as the major form of vitamin E. Tocopherol, as a group, is composed of soluble phenolic compounds that consist of a chromanol ring and a 16-carbon phytyl chain. The classification of the tocopherol molecules is designated depending on the number and position of the methyl substituent in the chromanol ring. The different types of tocopherol can be presented trimethylated, dimethylated or methylated in the positions 5-, 7- and 8-. When the carbons at position 5- and 7- are not methylated, they can function as electrophilic centers that can trap reactive oxygen and nitrogen species. Tocopherols can be found in the diet as part of vegetable oil such as corn, soybean, sesame, and cottonseed.[A32436] It is currently under the list of substances generally recognized as safe (GRAS) in the FDA for the use of human consumption.[L2114]		
DB11252	Poloxamer 407	investigational	Poloxamer 407 is a polyoxyethylene polymer and hydrophilic non-ionic surfactant. It consists of a central hydrophobic block of polypropylene glycol that is flanked on each side by polyethylene glycol blocks, both hydrophilic in nature. Poloxamer 407 is used as an emulsifying agent and solubilizing agent in cosmetic and personal products such as contact lens cleaning solutions.		
DB11253	Xanthan gum	approved	Xanthan gum is a polysaccharide gum derived from* Xanthomonas campestris* by a pure-culture fermentation process and purified by recovery with isopropyl alcohol. The major constituents include D-glucose, D-mannose, and D-glucuronic acid. Xanthan gum is a direct food additive permitted for direct addition to food for human consumption by the FDA. It is used as a thickening agent and stabilizer in emulsions.		
DB11254	Hexylresorcinol	approved	Hexylresorcinol is a substituted dihydroxybenzene. It exhibits antiseptic, anthelmintic, and local anesthetic properties. It can be found in topical applications for minor skin infections and in oral solutions or throat lozenges for pain relief and first aid antiseptic.The compound may also be used commonly in various commercial cosmetic anti-aging creams while ongoing studies research the possibility of using hexylresorcinol as an anti-cancer therapy - indications all of which require further study and testing at the current moment.		
DB11255	Chromium picolinate	approved	Chromium picolinate has a chemical formula CrPic3 and reddish-pink color. It is a coordination complex consisting of chromium(III) and picolinic acid. Chromium picolinate is used as a nutritional supplement for optimal insulin function in patients with Type 2 diabetes or promotion of weight loss. Chromium ions are shown to regulate insulin by promoting glucose utilization and increasing the sensitivity of the insulin receptor [A27235].		
DB11256	Levomefolic acid	approved,investigational	Levomefolic acid (INN) is the metabolite of folic acid (Vitamin B9) and it is a predominant active form of folate found in foods and in the blood circulation, accounting for 98% of folates in human plasma [A19276]. It is transported across the membranes including the blood-brain barrier into various tissues where it plays an essential role in the DNA synthesis, cysteine cycle and regulation of homocysteine, where it methylates homocysteine and forms methionine and tetrahydrofolate (THF). Levomefolate is approved as a food additive and is designated a GRAS (generally regarded as safe) compound [L773]. It is available commercially as a crystalline form of the calcium salt (Metafolin(R)), which has the stability required for use as a supplement [A19276]. Supplementation of levomefolic acid is desired over folic acid due to reduced potential for masking vitamin B12 deficiency symptoms.		
DB11257	Fluoride ion	approved	Having a chemical formula of F−, fluoride ion is the simplest inorganic, monatomic anion of fluorine with basic properties. It is considered a trace element. Fluoride ions are found in various minerals but are only present in trace amounts in water. Its various salt forms and minerals play numerous roles as chemical reagents, industrial chemicals, and commercial products. It also plays an essential physiological role, such as enhancing the resistance profile and strength of the surface tooth enamel.		
DB11259	Diosmetin	experimental	Diosmetin is an O-methylated flavone and the aglycone part of the flavonoid glycosides diosmin that occurs naturally in citrus fruits [A27231]. Pharmacologically, diosmetin is reported to exhibit anticancer, antimicrobial, antioxidant, oestrogenic and anti-inflamatory activities [A27231]. It also acts as a weak TrkB receptor agonist [A27230].		
DB11260	Diacetyl benzoyl lathyrol	approved	Diacetyl benzoyl lathyrol is an active ingredient in whitening creams. It is also reported to be a skin conditioning agent.		
DB11261	Atractylodes japonica root	approved			
DB11262	Bisoctrizole	approved	Bisoctrizole, or methylene bis-benzotriazolyl tetramethylbutylphenol, is a broad-spectrum organic UV filter that is marketed as Tinosorb M [A19212]. It is a benzotriazole-based organic compound that absorbs, reflects, and scatters both UV-A and UV-B rays. Bisoctrizole is not approved by the FDA, but is approved in the EU and other parts of the world as a UV-filter in sunscreens, day care products and skin lightening products at a maximum concentration of 10% [F90].		
DB11263	Polydatin	approved	Polydatin, or Piceid, is a natural precursor and glycoside form of resveratrol with a monocrystalline structure. While it is isolated from the bark of *Picea sitchensis* or *Polygonum cuspidatum*, polydatin may be detected in grape, peanut, hop cones, red wines, hop pellets, cocoa-containing products, chocolate products and many daily diets [A27226]. Polydatin possesses anti-inflammatory, immunoregulatory, anti-oxidative and anti-tumor activities. It is shown to mediate a cytotoxic action on colorectal cancer cells by inducing cell arrest and apoptosis [A27229].		
DB11264	Calcium glycerophosphate	approved	Calcium glycerophosphate is a [DB01373] salt of glycerophosphoric acid that forms a white, fine, slightly hygroscopic powder. The commercial product is a mixture of calcium beta-, and D-, and L -alpha-glycerophosphate. By FDA, calcium glycerophosphate is considered a generally recognized as safe (GRAS) food ingredient as a nutrient supplement (source of calcium or phosphorus), or in food products such as gelatins, puddings, and fillings. It is also present in dental or oral hygiene products due to its cariostatic effects. It is suggested that calcium glycerophosphate promotes plaque-pH buffering, elevation of plaque [DB01373] and phosphate levels and direct interaction with dental mineral [A27153].		
DB11265	Curcuma xanthorrhiza oil	nutraceutical	_Curcuma xanthorrhiza_ oil is extracted from _Curcuma xanthorrhiza_ Roxb., a member of the ginger family (_Zingiberaceae_) that is widely distributed in the region of Southeastern Asia [A33162].  _Curcuma xanthorrhiza_ is also known as Javanese Turmeric or Temoe Lawak [F114]. For centuries, _Curcuma xanthorrhiza_ oil has been used as a traditional medicine due to its antibacterial, antispasmodic, antioxidative, antitumor, anti-inflammatory and protective effects [A33160]. It has been used in the treatment of stomach diseases, liver disorders, constipation, bloody diarrhoea, dysentery, children’s fevers, hypotriglyceridaemic, haemorrhoids and skin eruptions [A33162]. _Curcuma xanthorrhiza_ oil is comprised of 1-2% of curcumin and 3-12% volatile oil, which mainly contains sesquiterpenes, 44.5% of xanthorrhizol, and a small amount of [DB01744] [F114]. However the principal active components of Curcuma xanthorrhiza are [DB11672] and xanthorrhizol that display a wide range of pharmacological activities and synergistic effects [F114]. Curcumin is a mixture of dicinnamoylmethane derivatives and other phenolic and non-phenolic diarylheptanoids [F114]. _Curcuma xanthorrhiza_ oil is found as an active ingredient in cosmetic and hygienic products, and marketing of products containing _Curcuma xanthorrhiza_ oil is authorized in some European countries including Germany and the Netherlands [F114].		
DB11266	Sea salt	approved	Sea salt is the salt obtained from the evaporation of seawater or water from saltwater lakes. Sea salt production is subject to little processing which leaves certain trace minerals and elements behind. In comparison, table salt is mined from underground sedimentary deposits and is more heavily processed to eliminate minerals. Unlike sea salt, table salt usually contains an additive to prevent clumping and involves addition of iodine. Sea salt is a food ingredient and is often colored by adding charcoal or red clay to sometimes be referred to as “Hawaiian Sea Salt.”		
DB11267	Triethoxycaprylylsilane	experimental			
DB11268	Protocatechualdehyde	experimental	Also known as protocatechuic aldehyde, protocatechualdehyde is a naturally-occuring phenolic aldehyde that is found in barley, green cavendish bananas, grapevine leaves and root of the herb S. miltiorrhiza [A27224]. Protocatechualdehyde possesses antiproliferative and pro-apoptotic properties against human breast cancer cells and colorectal cancer cells by reducing the expression of pro-oncogenes β-catenin and cyclin D1.		
DB11269	Diethylamino hydroxybenzoyl hexyl benzoate	approved	Diethylamino hydroxybenzoyl hexyl benzoate is a UV filter with high absorption in the UV-A range. Minimizing the overexposure of human skin to ultraviolet radiation that may lead to acute and chronic photodamage, diethylamino hydroxybenzoyl hexyl benzoate is an oil-soluble UV filter that may be incorporated in the oil phase of emulsions [F107]. Diethylamino hydroxybenzoyl hexyl benzoate was approved in Europe in 2005, and is also marketed in the U.S., South America, Mexico, Japan and Taiwan. It has a chemical structure similar to the classical benxophoenone drug class, and displays good photostability [A33171]. It is used in concentrations up to 10% in sunscreen products, either alone or in combination with other UV absorbers [F107].		
